CS Inch	CS Tol Inch	ID Inch	ID Tol Inch	CS mm	CS Tol mm	ID mm	ID Tol mm	Dash Size	CS Inch
0.1390000	0.004	0.671	0.009	3.530	0.100	17.040	0.230	-209	0.139
0.1390000	0.004	0.734	0.010	3.530	0.100	18.640	0.250	-210	0.139
0.1390000	0.004	0.796	0.010	3.530	0.100	20.220	0.250	-211	0.139
0.1390000	0.004	0.859	0.010	3.530	0.100	21.820	0.250	-212	0.139
0.1390000	0.004	0.921	0.010	3.530	0.100	23.390	0.250	-213	0.139
0.1390000	0.004	0.984	0.010	3.530	0.100	24.990	0.250	-214	0.139
0.1390000	0.004	1.046	0.010	3.530	0.100	26.570	0.250	-215	0.139
0.1390000	0.004	1.109	0.012	3.530	0.100	28.170	0.300	-216	0.139
0.1390000	0.004	1.171	0.012	3.530	0.100	29.740	0.300	-217	0.139
0.1390000	0.004	1.234	0.012	3.530	0.100	31.340	0.300	-218	0.139
0.1390000	0.004	1.296	0.012	3.530	0.100	32.920	0.300	-219	0.139
0.1390000	0.004	1.359	0.012	3.530	0.100	34.520	0.300	-220	0.139
0.1390000	0.004	1.421	0.012	3.530	0.100	36.090	0.300	-221	0.139
0.1390000	0.004	1.484	0.015	3.530	0.100	37.690	0.380	-222	0.139
0.1390000	0.004	1.609	0.015	3.530	0.100	40.870	0.380	-223	0.139
0.1390000	0.004	1.734	0.015	3.530	0.100	44.040	0.380	-224	0.139
0.1390000	0.004	1.859	0.018	3.530	0.100	47.220	0.460	-225	0.139
0.1390000	0.004	1.984	0.018	3.530	0.100	50.390	0.460	-226	0.139
0.1390000	0.004	2.109	0.018	3.530	0.100	53.570	0.460	-227	0.139
0.1390000	0.004	2.234	0.020	3.530	0.100	56.740	0.510	-228	0.139
0.1390000	0.004	2.359	0.020	3.530	0.100	59.920	0.510	-229	0.139
0.1390000	0.004	2.484	0.020	3.530	0.100	63.090	0.510	-230	0.139
0.1390000	0.004	2.609	0.020	3.530	0.100	66.270	0.510	-231	0.139
0.1390000	0.004	2.734	0.024	3.530	0.100	69.440	0.610	-232	0.139
0.1390000	0.004	2.859	0.024	3.530	0.100	72.620	0.610	-233	0.139
0.1390000	0.004	2.984	0.024	3.530	0.100	75.790	0.610	-234	0.139
0.1390000	0.004	3.109	0.024	3.530	0.100	78.970	0.610	-235	0.139
0.1390000	0.004	3.234	0.024	3.530	0.100	82.140	0.610	-236	0.139
0.1390000	0.004	3.359	0.024	3.530	0.100	85.320	0.610	-237	0.139
0.1390000	0.004	3.484	0.024	3.530	0.100	88.490	0.610	-238	0.139
0.1390000	0.004	3.609	0.028	3.530	0.100	91.670	0.710	-239	0.139
0.1390000	0.004	3.734	0.028	3.530	0.100	94.840	0.710	-240	0.139
0.1390000	0.004	3.859	0.028	3.530	0.100	98.020	0.710	-241	0.139
0.1390000	0.004	3.984	0.028	3.530	0.100	101.190	0.710	-242	0.139
0.1390000	0.004	4.109	0.028	3.530	0.100	104.370	0.710	-243	0.139
0.1390000	0.004	4.234	0.030	3.530	0.100	107.540	0.760	-244	0.139
0.1390000	0.004	4.359	0.030	3.530	0.100	110.720	0.760	-245	0.139
0.1390000	0.004	4.484	0.030	3.530	0.100	113.890	0.760	-246	0.139
0.1390000	0.004	4.609	0.030	3.530	0.100	117.070	0.760	-247	0.139
0.1390000	0.004	4.734	0.030	3.530	0.100	120.240	0.760	-248	0.139
0.1390000	0.004	4.859	0.035	3.530	0.100	123.420	0.890	-249	0.139
0.1390000	0.004	4.984	0.035	3.530	0.100	126.590	0.890	-250	0.139
0.1390000	0.004	5.109	0.035	3.530	0.100	129.770	0.890	-251	0.139
0.1390000	0.004	5.234	0.035	3.530	0.100	132.940	0.890	-252	0.139
0.1390000	0.004	5.359	0.035	3.530	0.100	136.120	0.890	-253	0.139
0.1390000	0.004	5.484	0.035	3.530	0.100	139.290	0.890	-254	0.139
0.1390000	0.004	5.609	0.035	3.530	0.100	142.470	0.890	-255	0.139
0.1390000	0.004	5.734	0.035	3.530	0.100	145.640	0.890	-256	0.139
0.1390000	0.004	5.859	0.035	3.530	0.100	148.820	0.890	-257	0.139
0.1390000	0.004	5.984	0.035	3.530	0.100	151.990	0.890	-258	0.139
0.1390000	0.004	6.234	0.040	3.530	0.100	158.340	1.020	-259	0.139
0.1390000	0.004	6.484	0.040	3.530	0.100	164.690	1.020	-260	0.139
0.1390000	0.004	6.734	0.040	3.530	0.100	171.040	1.020	-261	0.139
0.1390000	0.004	6.984	0.040	3.530	0.100	177.390	1.020	-262	0.139
0.1390000	0.004	7.234	0.045	3.530	0.100	183.740	1.140	-263	0.139
0.1390000	0.004	7.484	0.045	3.530	0.100	190.090	1.140	-264	0.139
0.1390000	0.004	7.734	0.045	3.530	0.100	196.440	1.140	-265	0.139
0.1390000	0.004	7.984	0.045	3.530	0.100	202.790	1.140	-266	0.139
0.1390000	0.004	8.234	0.050	3.530	0.100	209.140	1.270	-267	0.139
0.1390000	0.004	8.484	0.050	3.530	0.100	215.490	1.270	-268	0.139
0.1390000	0.004	8.734	0.050	3.530	0.100	221.840	1.270	-269	0.139
0.1390000	0.004	8.984	0.050	3.530	0.100	228.190	1.270	-270	0.139
0.1390000	0.004	9.234	0.055	3.530	0.100	234.540	1.400	-271	0.139
0.1390000	0.004	9.484	0.055	3.530	0.100	240.890	1.400	-272	0.139
0.1390000	0.004	9.734	0.055	3.530	0.100	247.240	1.400	-273	0.139
0.1390000	0.004	9.984	0.055	3.530	0.100	253.590	1.400	-274	0.139
0.1390000	0.004	10.484	0.055	3.530	0.100	266.290	1.400	-275	0.139
0.1390000	0.004	10.984	0.065	3.530	0.100	278.990	1.650	-276	0.139
0.1390000	0.004	11.484	0.065	3.530	0.100	291.690	1.650	-277	0.139
0.1390000	0.004	11.984	0.065	3.530	0.100	304.390	1.650	-278	0.139
0.1390000	0.004	12.984	0.065	3.530	0.100	329.790	1.650	-279	0.139
0.1390000	0.004	13.984	0.065	3.530	0.100	355.190	1.650	-280	0.139
0.1390000	0.004	14.984	0.065	3.530	0.100	380.590	1.650	-281	0.139
0.1390000	0.004	15.955	0.075	3.530	0.100	405.260	1.910	-282	0.139
0.1390000	0.004	16.955	0.080	3.530	0.100	430.660	2.030	-283	0.139
0.1390000	0.004	17.955	0.085	3.530	0.100	456.060	2.160	-284	0.139
0.2100000	0.005	0.412	0.005	5.330	0.130	10.460	0.130	-309	0.210
0.2100000	0.005	0.475	0.005	5.330	0.130	12.070	0.130	-310	0.210
0.2100000	0.005	0.537	0.007	5.330	0.130	13.640	0.180	-311	0.210
0.2100000	0.005	0.600	0.009	5.330	0.130	15.240	0.230	-312	0.210
0.2100000	0.005	0.662	0.009	5.330	0.130	16.810	0.230	-313	0.210
0.2100000	0.005	0.725	0.010	5.330	0.130	18.420	0.250	-314	0.210
0.2100000	0.005	0.787	0.010	5.330	0.130	19.990	0.250	-315	0.210
0.2100000	0.005	0.850	0.010	5.330	0.130	21.590	0.250	-316	0.210
0.2100000	0.005	0.912	0.010	5.330	0.130	23.160	0.250	-317	0.210
0.2100000	0.005	0.975	0.010	5.330	0.130	24.770	0.250	-318	0.210
0.2100000	0.005	1.037	0.010	5.330	0.130	26.340	0.250	-319	0.210
0.2100000	0.005	1.100	0.012	5.330	0.130	27.940	0.300	-320	0.210
0.2100000	0.005	1.162	0.012	5.330	0.130	29.510	0.300	-321	0.210
0.2100000	0.005	1.225	0.012	5.330	0.130	31.120	0.300	-322	0.210
0.2100000	0.005	1.287	0.012	5.330	0.130	32.690	0.300	-323	0.210
0.2100000	0.005	1.350	0.012	5.330	0.130	34.290	0.300	-324	0.210
0.2100000	0.005	1.475	0.015	5.330	0.130	37.470	0.380	-325	0.210
0.2100000	0.005	1.600	0.015	5.330	0.130	40.640	0.380	-326	0.210
0.2100000	0.005	1.725	0.015	5.330	0.130	43.820	0.380	-327	0.210
0.2100000	0.005	1.850	0.015	5.330	0.130	46.990	0.380	-328	0.210
0.2100000	0.005	1.975	0.018	5.330	0.130	50.170	0.460	-329	0.210
0.2100000	0.005	2.100	0.018	5.330	0.130	53.340	0.460	-330	0.210
0.2100000	0.005	2.225	0.018	5.330	0.130	56.520	0.460	-331	0.210
0.2100000	0.005	2.350	0.018	5.330	0.130	59.690	0.460	-332	0.210
0.2100000	0.005	2.475	0.020	5.330	0.130	62.870	0.510	-333	0.210
0.2100000	0.005	2.600	0.020	5.330	0.130	66.040	0.510	-334	0.210
0.2100000	0.005	2.725	0.020	5.330	0.130	69.220	0.510	-335	0.210
0.2100000	0.005	2.850	0.020	5.330	0.130	72.390	0.510	-336	0.210
0.2100000	0.005	2.975	0.024	5.330	0.130	75.570	0.610	-337	0.210
0.2100000	0.005	3.100	0.024	5.330	0.130	78.740	0.610	-338	0.210
0.2100000	0.005	3.225	0.024	5.330	0.130	81.920	0.610	-339	0.210
0.2100000	0.005	3.350	0.024	5.330	0.130	85.090	0.610	-340	0.210
0.2100000	0.005	3.475	0.024	5.330	0.130	88.270	0.610	-341	0.210
0.2100000	0.005	3.600	0.028	5.330	0.130	91.440	0.710	-342	0.210
0.2100000	0.005	3.725	0.028	5.330	0.130	94.620	0.710	-343	0.210
0.2100000	0.005	3.850	0.028	5.330	0.130	97.790	0.710	-344	0.210
0.2100000	0.005	3.975	0.028	5.330	0.130	100.970	0.710	-345	0.210
0.2100000	0.005	4.100	0.028	5.330	0.130	104.140	0.710	-346	0.210
0.2100000	0.005	4.225	0.030	5.330	0.130	107.320	0.760	-347	0.210
0.2100000	0.005	4.350	0.030	5.330	0.130	110.490	0.760	-348	0.210
0.2100000	0.005	4.475	0.030	5.330	0.130	113.670	0.760	-349	0.210
0.2100000	0.005	4.600	0.030	5.330	0.130	116.840	0.760	-350	0.210
0.2100000	0.005	4.725	0.030	5.330	0.130	120.020	0.760	-351	0.210
0.2100000	0.005	4.850	0.030	5.330	0.130	123.190	0.760	-352	0.210
0.2100000	0.005	4.975	0.037	5.330	0.130	126.370	0.940	-353	0.210
0.2100000	0.005	5.100	0.037	5.330	0.130	129.540	0.940	-354	0.210
0.2100000	0.005	5.225	0.037	5.330	0.130	132.720	0.940	-355	0.210
0.2100000	0.005	5.350	0.037	5.330	0.130	135.890	0.940	-356	0.210
0.2100000	0.005	5.475	0.037	5.330	0.130	139.070	0.940	-357	0.210
0.2100000	0.005	5.600	0.037	5.330	0.130	142.240	0.940	-358	0.210
0.2100000	0.005	5.725	0.037	5.330	0.130	145.420	0.940	-359	0.210
0.2100000	0.005	5.850	0.037	5.330	0.130	148.590	0.940	-360	0.210
0.2100000	0.005	5.975	0.037	5.330	0.130	151.770	0.940	-361	0.210
0.2100000	0.005	6.225	0.040	5.330	0.130	158.120	1.020	-362	0.210
0.2100000	0.005	6.475	0.040	5.330	0.130	164.470	1.020	-363	0.210
0.2100000	0.005	6.725	0.040	5.330	0.130	170.820	1.020	-364	0.210
0.2100000	0.005	6.975	0.040	5.330	0.130	177.170	1.020	-365	0.210
0.2100000	0.005	7.225	0.045	5.330	0.130	183.520	1.140	-366	0.210
0.2100000	0.005	7.475	0.045	5.330	0.130	189.870	1.140	-367	0.210
0.2100000	0.005	7.725	0.045	5.330	0.130	196.220	1.140	-368	0.210
0.2100000	0.005	7.975	0.045	5.330	0.130	202.570	1.140	-369	0.210
0.2100000	0.005	8.225	0.050	5.330	0.130	208.920	1.270	-370	0.210
0.2100000	0.005	8.475	0.050	5.330	0.130	215.270	1.270	-371	0.210
0.2100000	0.005	8.725	0.050	5.330	0.130	221.620	1.270	-372	0.210
